"FriendlyName","GUID"
"Power Apps Portals page view capacity add-on","System.Object[]"
"Power Apps Portals page view capacity add-on for Government","System.Object[]"
"Power Apps Premium","System.Object[]"
"Power Apps Premium for Government","System.Object[]"
"Power Automate per flow plan","System.Object[]"
"Power Automate per flow plan for Government","System.Object[]"
"Power Automate per user plan","System.Object[]"
"Power Automate per user plan dept","System.Object[]"
"Power Automate per user plan for Government","System.Object[]"
"Power Automate Premium","System.Object[]"
"Power Automate Premium for Government","System.Object[]"
"Power Automate Process","System.Object[]"
"Power Automate unattended RPA add-on","System.Object[]"
"Power Automate unattended RPA add-on for Government","System.Object[]"
"Power BI","System.Object[]"
"Power BI for Office 365 Add-On","System.Object[]"
"Power BI Premium EM1","System.Object[]"
"Power BI Premium EM2","System.Object[]"
"Power BI Premium P1","System.Object[]"
"Power BI Premium P1 GCC","System.Object[]"
"Power BI Premium Per User","System.Object[]"
"Power BI Premium Per User Add-On","System.Object[]"
"Power BI Premium Per User Add-On for GCC","System.Object[]"
"Power BI Premium Per User Dept","System.Object[]"
"Power BI Premium Per User for Faculty","System.Object[]"
"Power BI Premium Per User for Government","System.Object[]"
"Power BI Pro","System.Object[]"
"Power BI Pro CE","System.Object[]"
"Power BI Pro Dept","System.Object[]"
"Power BI Pro for Faculty","System.Object[]"
"Power BI Pro for GCC","System.Object[]"
"Power Pages authenticated users T1 100 users/per site/month capacity pack","System.Object[]"
"Power Pages authenticated users T1 100 users/per site/month capacity pack_GCC","System.Object[]"
"Power Pages authenticated users T1 100 users/per site/month capacity pack_USGOV_DOD","System.Object[]"
"Power Pages authenticated users T1 100 users/per site/month capacity pack_USGOV_GCCHIGH","System.Object[]"
"Power Pages authenticated users T2 min 100 units - 100 users/per site/month capacity pack","System.Object[]"
"Power Pages authenticated users T2 min 100 units - 100 users/per site/month capacity pack CN_CN","System.Object[]"
"Power Pages authenticated users T2 min 100 units - 100 users/per site/month capacity pack_GCC","System.Object[]"
"Power Pages authenticated users T2 min 100 units - 100 users/per site/month capacity pack_USGOV_DOD","System.Object[]"
"Power Pages authenticated users T2 min 100 units - 100 users/per site/month capacity pack_USGOV_GCCHIGH","System.Object[]"
"Power Pages authenticated users T3 min 1,000 units - 100 users/per site/month capacity pack","System.Object[]"
"Power Pages authenticated users T3 min 1,000 units - 100 users/per site/month capacity pack CN_CN","System.Object[]"
"Power Pages authenticated users T3 min 1,000 units - 100 users/per site/month capacity pack_GCC","System.Object[]"
"Power Pages authenticated users T3 min 1,000 units - 100 users/per site/month capacity pack_USGOV_DOD","System.Object[]"
"Power Pages authenticated users T3 min 1,000 units - 100 users/per site/month capacity pack_USGOV_GCCHIGH","System.Object[]"
"Power Pages vTrial for Makers","System.Object[]"
"Power Virtual Agent","System.Object[]"
"Power Virtual Agent for GCC","System.Object[]"
"Power Virtual Agent User License","System.Object[]"
"Power Virtual Agent User License for GCC","System.Object[]"
"Power Virtual Agents Viral Trial","System.Object[]"
"PowerApps & Flow GCC Test - O365 & Dyn365 Plans","System.Object[]"
"PowerApps per app baseline access","System.Object[]"
"PowerApps Plan 1 for Government","System.Object[]"
"Privacy Management - risk for EDU","System.Object[]"
"Privacy Management - risk GCC","System.Object[]"
"Privacy Management - risk_USGOV_DOD","System.Object[]"
"Privacy Management - risk_USGOV_GCCHIGH","System.Object[]"
"Privacy Management - subject rights request (1)","System.Object[]"
"Privacy Management - subject rights request (1) for EDU","System.Object[]"
"Privacy Management - subject rights request (1) GCC","System.Object[]"
"Privacy Management - subject rights request (1) USGOV_DOD","System.Object[]"
"Privacy Management - subject rights request (1) USGOV_GCCHIGH","System.Object[]"
"Privacy Management - subject rights request (10)","System.Object[]"
"Privacy Management - subject rights request (10) for EDU","System.Object[]"
"Privacy Management - subject rights request (10) GCC","System.Object[]"
"Privacy Management - subject rights request (10) USGOV_DOD","System.Object[]"
"Privacy Management - subject rights request (10) USGOV_GCCHIGH","System.Object[]"
"Privacy Management - subject rights request (100)","System.Object[]"
"Privacy Management - subject rights request (100) for EDU","System.Object[]"
"Privacy Management - subject rights request (100) GCC","System.Object[]"
"Privacy Management - subject rights request (100) USGOV_DOD","System.Object[]"
"Privacy Management - subject rights request (100) USGOV_GCCHIGH","System.Object[]"
"Privacy Management - subject rights request (50)","System.Object[]"
"Privacy Management - subject rights request (50) for EDU","System.Object[]"
"Privacy Management â risk","System.Object[]"
"Project for Office 365","System.Object[]"
"Project Online Essentials","System.Object[]"
"Project Online Essentials for Faculty","System.Object[]"
"Project Online Essentials for GCC","System.Object[]"
"Project Online Premium","System.Object[]"
"Project Online Premium Without Project Client","System.Object[]"
"Project Online With Project for Office 365","System.Object[]"
"Project Plan 1 (for Department)","System.Object[]"
"Project Plan 3 (for Department)","System.Object[]"
"Project Plan 3 for Faculty","System.Object[]"
"Project Plan 3 for GCC","System.Object[]"
"Project Plan 3 for GCC TEST","System.Object[]"
"Project Plan 3_USGOV_GCCHIGH","System.Object[]"
"Project Plan 5 for faculty","System.Object[]"
